,frame number,row_coordinate
0,599,599
1,600,599
2,601,599
3,602,599
4,603,599
5,604,599
6,605,599
7,606,599
8,607,599
9,608,599
10,609,599
11,610,599
12,611,599
13,612,599
14,613,599
15,614,599
16,615,599
17,616,599
18,617,599
19,618,599
20,619,599
21,620,599
22,621,599
23,622,599
24,623,599
25,624,599
26,625,599
27,626,599
28,627,599
29,628,599
30,629,599
31,630,599
32,631,599
33,632,599
34,633,599
35,634,599
36,635,599
37,636,599
38,637,599
39,638,599
40,639,599
41,640,599
42,641,599
43,642,599
44,643,599
45,644,599
46,645,599
47,646,599
48,647,599
49,648,599
50,649,599
51,650,599
52,651,599
53,652,599
54,653,599
55,654,599
56,655,599
57,656,599
58,657,599
59,658,599
60,659,599
61,660,599
62,661,599
63,662,581
64,663,599
65,664,599
66,665,573
67,666,599
68,667,599
69,668,599
