,frame number,row_coordinate
0,5642,501
1,5643,185
2,5644,201
3,5645,141
4,5646,248
5,5647,126
6,5648,599
7,5649,500
8,5650,597
9,5651,599
10,5652,599
11,5653,599
12,5654,599
13,5655,599
14,5656,599
15,5657,599
16,5658,599
17,5659,599
18,5660,599
19,5661,599
20,5662,599
21,5663,599
22,5664,500
23,5665,599
24,5666,125
25,5667,502
26,5668,245
27,5669,232
28,5670,271
29,5671,502
30,5672,221
31,5673,284
32,5674,500
33,5675,230
34,5676,500
35,5677,584
36,5678,232
37,5679,232
38,5680,502
39,5681,242
40,5682,232
41,5683,235
42,5684,599
43,5685,502
44,5686,227
45,5687,501
46,5688,599
47,5689,500
48,5690,488
49,5691,599
50,5692,599
51,5693,218
52,5694,599
53,5695,599
54,5696,500
55,5697,500
56,5698,599
57,5699,599
58,5700,500
59,5701,208
60,5702,218
61,5703,221
62,5704,224
63,5705,491
64,5706,491
65,5707,490
66,5708,490
67,5709,500
68,5710,208
69,5711,211
70,5712,205
71,5713,491
72,5714,489
73,5715,214
74,5716,221
75,5717,221
76,5718,233
77,5719,227
78,5720,205
79,5721,500
80,5722,491
81,5723,227
82,5724,215
83,5725,500
84,5726,211
85,5727,208
86,5728,211
87,5729,490
88,5730,490
89,5731,500
90,5732,214
91,5733,500
92,5734,211
93,5735,214
94,5736,208
95,5737,208
96,5738,491
97,5739,211
98,5740,500
99,5741,491
100,5742,500
101,5743,214
102,5744,491
103,5745,208
104,5746,491
105,5747,205
106,5748,500
107,5749,500
108,5750,500
109,5751,205
110,5752,205
111,5753,205
112,5754,205
113,5755,205
114,5756,490
115,5757,205
116,5758,500
117,5759,500
118,5760,500
119,5761,500
120,5762,500
121,5763,500
122,5764,500
123,5765,500
