,frame number,row_coordinate
0,5159,599
1,5160,599
2,5161,599
3,5162,599
4,5163,599
5,5164,599
6,5165,599
7,5166,599
8,5167,599
9,5168,599
10,5169,599
11,5170,599
12,5171,599
13,5172,599
14,5173,599
15,5174,599
16,5175,599
17,5176,599
18,5177,599
19,5178,599
20,5179,599
21,5180,599
22,5181,599
23,5182,599
24,5183,599
25,5184,599
26,5185,599
27,5186,599
28,5187,599
29,5188,599
30,5189,599
31,5190,599
32,5191,599
33,5192,599
34,5193,599
35,5194,599
36,5195,599
37,5196,599
38,5197,599
39,5198,599
40,5199,599
41,5200,599
42,5201,599
43,5202,599
44,5203,599
45,5204,599
46,5205,599
47,5206,599
48,5207,490
49,5208,599
50,5209,599
51,5210,599
52,5211,599
53,5212,599
54,5213,599
55,5214,599
56,5215,599
57,5216,599
58,5217,599
59,5218,599
60,5219,599
61,5220,599
62,5221,599
63,5222,599
64,5223,599
65,5224,599
66,5225,599
67,5226,599
68,5227,599
69,5228,599
70,5229,599
71,5230,599
72,5231,599
73,5232,599
74,5233,599
75,5234,599
76,5235,599
77,5236,599
78,5237,599
79,5238,599
80,5239,599
81,5240,599
82,5241,599
83,5242,599
84,5243,599
85,5244,599
86,5245,599
87,5246,599
88,5247,599
89,5248,599
90,5249,599
91,5250,599
92,5251,599
93,5252,599
94,5253,599
95,5254,599
96,5255,599
97,5256,599
98,5257,599
99,5258,599
100,5259,599
101,5260,599
102,5261,599
103,5262,599
104,5263,599
105,5264,599
106,5265,599
107,5266,599
108,5267,599
109,5268,599
110,5269,599
111,5270,599
112,5271,599
113,5272,599
114,5273,599
115,5274,599
116,5275,599
117,5276,599
118,5277,599
119,5278,599
120,5279,599
121,5280,599
122,5281,599
123,5282,599
124,5283,599
125,5284,599
126,5285,599
127,5286,599
128,5287,599
129,5288,599
130,5289,599
131,5290,599
132,5291,599
133,5292,599
134,5293,599
135,5294,599
136,5295,599
137,5296,599
138,5297,599
139,5298,599
140,5299,599
141,5300,599
142,5301,599
143,5302,599
144,5303,599
145,5304,599
146,5305,599
147,5306,599
148,5307,599
149,5308,599
150,5309,599
151,5310,599
152,5311,599
153,5312,599
154,5313,599
155,5314,599
156,5315,599
157,5316,599
158,5317,599
159,5318,599
160,5319,599
161,5320,599
162,5321,599
163,5322,599
164,5323,599
165,5324,599
166,5325,599
167,5326,599
168,5327,599
169,5328,599
170,5329,599
171,5330,599
172,5331,599
173,5332,599
174,5333,599
175,5334,599
176,5335,599
177,5336,599
178,5337,599
179,5338,599
180,5339,599
181,5340,599
182,5341,599
183,5342,599
184,5343,599
185,5344,599
186,5345,599
187,5346,599
188,5347,599
189,5348,599
190,5349,599
191,5350,599
192,5351,599
193,5352,599
194,5353,599
195,5354,599
196,5355,599
197,5356,599
198,5357,599
199,5358,599
200,5359,599
201,5360,599
202,5361,599
203,5362,599
204,5363,599
205,5364,599
206,5365,599
207,5366,599
208,5367,599
209,5368,599
210,5369,599
211,5370,599
212,5371,599
213,5372,599
214,5373,599
215,5374,599
216,5375,599
217,5376,599
218,5377,599
219,5378,599
220,5379,599
221,5380,599
222,5381,599
223,5382,599
224,5383,599
225,5384,599
226,5385,599
227,5386,599
228,5387,599
229,5388,599
230,5389,599
231,5390,599
232,5391,599
233,5392,599
234,5393,598
235,5394,599
236,5395,599
237,5396,599
238,5397,599
239,5398,599
240,5399,599
241,5400,599
242,5401,599
243,5402,599
244,5403,599
245,5404,599
246,5405,599
247,5406,599
248,5407,599
249,5408,599
250,5409,599
251,5410,599
252,5411,599
253,5412,599
254,5413,599
255,5414,599
256,5415,599
257,5416,599
258,5417,599
259,5418,599
260,5419,599
261,5420,599
262,5421,599
263,5422,599
264,5423,599
265,5424,599
266,5425,599
267,5426,599
268,5427,599
269,5428,599
270,5429,599
271,5430,599
272,5431,599
273,5432,599
274,5433,599
275,5434,599
276,5435,599
277,5436,599
278,5437,599
279,5438,599
280,5439,599
281,5440,599
282,5441,599
283,5442,599
284,5443,599
285,5444,599
286,5445,599
287,5446,599
288,5447,599
289,5448,599
290,5449,599
291,5450,599
292,5451,599
293,5452,599
294,5453,599
295,5454,599
296,5455,599
297,5456,599
298,5457,599
299,5458,599
300,5459,599
301,5460,599
302,5461,599
303,5462,599
304,5463,599
305,5464,599
306,5465,599
307,5466,599
308,5467,599
309,5468,599
310,5469,599
311,5470,599
312,5471,599
313,5472,599
314,5473,599
315,5474,599
316,5475,599
317,5476,599
318,5477,599
319,5478,599
320,5479,599
321,5480,599
322,5481,599
323,5482,599
324,5483,599
325,5484,599
326,5485,599
327,5486,599
328,5487,599
329,5488,599
330,5489,599
331,5490,599
332,5491,599
333,5492,599
334,5493,599
335,5494,599
336,5495,599
337,5496,599
338,5497,599
339,5498,599
340,5499,599
341,5500,599
342,5501,599
343,5502,599
344,5503,599
345,5504,599
346,5505,599
347,5506,599
348,5507,599
349,5508,599
350,5509,599
351,5510,599
352,5511,599
353,5512,599
354,5513,599
355,5514,599
356,5515,599
357,5516,599
358,5517,599
359,5518,599
360,5519,599
361,5520,599
362,5521,599
363,5522,598
364,5523,599
365,5524,599
366,5525,599
367,5526,599
368,5527,599
369,5528,599
370,5529,599
371,5530,599
372,5531,599
373,5532,599
374,5533,599
375,5534,599
376,5535,599
377,5536,599
378,5537,599
379,5538,490
380,5539,599
381,5540,599
382,5541,599
383,5542,599
384,5543,599
385,5544,599
386,5545,599
387,5546,599
388,5547,599
389,5548,599
390,5549,599
391,5550,599
392,5551,599
393,5552,599
394,5553,599
395,5554,599
396,5555,599
397,5556,599
398,5557,599
399,5558,599
400,5559,599
401,5560,599
402,5561,599
403,5562,599
404,5563,599
405,5564,599
406,5565,599
407,5566,599
408,5567,599
409,5568,599
410,5569,599
411,5570,599
412,5571,599
413,5572,599
414,5573,599
415,5574,599
416,5575,599
417,5576,599
418,5577,599
419,5578,599
420,5579,599
421,5580,599
422,5581,599
423,5582,599
424,5583,599
425,5584,599
426,5585,599
427,5586,599
428,5587,599
429,5588,599
430,5589,599
431,5590,599
432,5591,599
433,5592,599
434,5593,599
435,5594,599
436,5595,599
437,5596,599
438,5597,599
439,5598,599
440,5599,599
441,5600,599
442,5601,599
443,5602,599
444,5603,599
445,5604,599
446,5605,599
447,5606,599
448,5607,599
449,5608,599
450,5609,599
451,5610,599
452,5611,599
453,5612,599
454,5613,599
455,5614,599
456,5615,599
457,5616,599
458,5617,599
459,5618,598
460,5619,599
461,5620,599
462,5621,599
463,5622,599
464,5623,599
465,5624,599
466,5625,599
467,5626,599
468,5627,599
469,5628,599
470,5629,599
471,5630,599
472,5631,599
473,5632,599
474,5633,599
475,5634,599
476,5635,599
477,5636,599
478,5637,599
479,5638,599
480,5639,599
481,5640,599
482,5641,599
483,5642,599
484,5643,599
485,5644,599
486,5645,599
487,5646,599
488,5647,599
489,5648,599
490,5649,599
491,5650,599
492,5651,599
493,5652,599
494,5653,490
495,5654,599
496,5655,599
497,5656,599
498,5657,599
499,5658,598
500,5659,599
501,5660,599
502,5661,599
503,5662,599
504,5663,599
505,5664,599
506,5665,599
507,5666,599
508,5667,599
509,5668,599
510,5669,599
511,5670,599
512,5671,599
513,5672,599
514,5673,599
515,5674,599
516,5675,599
517,5676,599
518,5677,599
519,5678,599
520,5679,599
521,5680,599
522,5681,599
523,5682,599
524,5683,599
525,5684,599
526,5685,599
527,5686,599
528,5687,599
529,5688,599
530,5689,599
531,5690,599
532,5691,599
533,5692,599
534,5693,599
535,5694,599
536,5695,599
537,5696,599
538,5697,599
539,5698,599
540,5699,599
541,5700,599
542,5701,599
543,5702,599
544,5703,599
545,5704,599
546,5705,599
547,5706,599
548,5707,599
549,5708,599
550,5709,599
551,5710,599
552,5711,599
553,5712,599
554,5713,599
555,5714,599
556,5715,599
557,5716,599
558,5717,599
559,5718,599
560,5719,599
561,5720,599
562,5721,599
563,5722,599
564,5723,599
565,5724,599
566,5725,599
567,5726,599
568,5727,599
569,5728,599
570,5729,599
571,5730,599
572,5731,599
573,5732,599
574,5733,599
575,5734,599
576,5735,599
577,5736,599
578,5737,599
579,5738,599
580,5739,599
581,5740,490
582,5741,599
583,5742,599
584,5743,599
585,5744,599
586,5745,599
587,5746,599
588,5747,599
589,5748,599
590,5749,599
591,5750,599
592,5751,599
593,5752,599
594,5753,599
595,5754,599
596,5755,599
597,5756,599
598,5757,599
599,5758,599
600,5759,599
601,5760,599
602,5761,599
603,5762,599
604,5763,599
605,5764,599
606,5765,599
607,5766,599
608,5767,599
609,5768,599
610,5769,599
611,5770,599
612,5771,599
613,5772,599
614,5773,599
615,5774,599
616,5775,599
617,5776,599
618,5777,599
619,5778,599
620,5779,599
621,5780,599
622,5781,599
623,5782,490
624,5783,599
625,5784,599
626,5785,599
627,5786,599
628,5787,599
629,5788,599
630,5789,599
631,5790,599
632,5791,599
633,5792,599
634,5793,599
635,5794,599
636,5795,599
637,5796,599
638,5797,599
639,5798,599
640,5799,599
641,5800,599
642,5801,599
643,5802,599
644,5803,599
645,5804,599
646,5805,599
647,5806,599
648,5807,599
649,5808,599
650,5809,599
651,5810,599
652,5811,599
653,5812,599
654,5813,599
655,5814,599
656,5815,599
657,5816,599
658,5817,599
659,5818,599
660,5819,599
661,5820,599
662,5821,599
663,5822,599
664,5823,599
665,5824,599
666,5825,599
667,5826,599
668,5827,599
669,5828,599
670,5829,599
671,5830,599
672,5831,599
673,5832,599
674,5833,599
675,5834,599
676,5835,599
677,5836,599
678,5837,599
679,5838,599
680,5839,599
681,5840,599
682,5841,598
683,5842,599
684,5843,599
685,5844,599
686,5845,599
687,5846,599
688,5847,599
689,5848,599
690,5849,599
691,5850,599
692,5851,599
693,5852,599
694,5853,599
695,5854,599
696,5855,599
697,5856,599
698,5857,599
699,5858,599
700,5859,599
701,5860,599
702,5861,599
703,5862,599
704,5863,599
705,5864,599
706,5865,599
707,5866,599
708,5867,599
709,5868,599
710,5869,599
711,5870,599
712,5871,599
713,5872,599
714,5873,599
715,5874,598
716,5875,599
717,5876,599
718,5877,599
719,5878,599
720,5879,599
721,5880,599
722,5881,599
723,5882,599
724,5883,599
725,5884,599
726,5885,599
727,5886,599
728,5887,599
